Code,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Base Period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Other notes
SE.PRM.PRIV.ZS,Percentage of enrolment in primary education in private institutions (%),,"Total number of students in primary education enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in primary education.",UNESCO Institute for Statistics,Primary,,,,,,,,
SE.PRE.PRIV.ZS,Percentage of enrolment in pre-primary education in private institutions (%),,"Total number of students in pre-primary education enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in pre-primary education. Within ISCED 0, early childhood educational development programmes are targeted at children aged 0 to 2 years; and pre-primary education programmes are targeted at children aged 3 years until the age to start ISCED 1.",UNESCO Institute for Statistics,Early Childhood Education,,,,,,,,
UIS.PRP.2,Percentage of enrolment in lower secondary education in private institutions (%),,"Total number of students in lower secondary education enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in lower secondary education.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.PRP.01,Percentage of enrolment in early childhood educational development programmes in private institutions (%),,"Total number of students in early childhood educational development programmes enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in early childhood educational development programmes. Within ISCED 0, early childhood educational development programmes are targeted at children aged 0 to 2 years; and pre-primary education programmes are targeted at children aged 3 years until the age to start ISCED 1.",UNESCO Institute for Statistics,Early Childhood Education,,,,,,,,
UIS.PRP.0,Percentage of enrolment in early childhood education programmes in private institutions (%),,"Total number of students in early childhood education programmes enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in early childhood education programmes. Within ISCED 0, early childhood educational development programmes are targeted at children aged 0 to 2 years; and pre-primary education programmes are targeted at children aged 3 years until the age to start ISCED 1.",UNESCO Institute for Statistics,Early Childhood Education,,,,,,,,
UIS.OAPP.1.M,"Over-age enrolment ratio in primary education, male (%)",,Percentage of the male primary school age population that is over the official primary school age.,UNESCO Institute for Statistics,Primary,,,,,,,,
UIS.OAPP.1.F,"Over-age enrolment ratio in primary education, female (%)",,Percentage of the female primary school age population that is over the official primary school age.,UNESCO Institute for Statistics,Primary,,,,,,,,
UIS.OAPP.1,"Over-age enrolment ratio in primary education, both sexes (%)",,Percentage of the primary school age population that is over the official primary school age.,UNESCO Institute for Statistics,Primary,,,,,,,,
UIS.NER.3.M,"Net enrolment rate, upper secondary, male (%)",,"Total number of male students in the theoretical age group for upper secondary education enrolled in that level, expressed as a percentage of the total male population in that age group. Divide the number of male students enrolled who are of the official age group for upper secondary education by the male population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.NER.3.F,"Net enrolment rate, upper secondary, female (%)",,"Total number of female students in the theoretical age group for upper secondary education enrolled in that level, expressed as a percentage of the total female population in that age group. Divide the number of female students enrolled who are of the official age group for upper secondary education by the female population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.NER.3,"Net enrolment rate, upper secondary, both sexes (%)",,"Total number of students in the theoretical age group for upper secondary education enrolled in that level, expressed as a percentage of the total population in that age group. Divide the number of students enrolled who are of the official age group for upper secondary education by the population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.NENR.MA,"Net enrolment rate, secondary, male (%)",,"Total number of male students in the theoretical age group for secondary education enrolled in that level, expressed as a percentage of the total male population in that age group. Divide the number of male students enrolled who are of the official age group for secondary education by the male population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.NER.23.GPI,"Net enrolment rate, secondary, gender parity index (GPI)",,"Ratio of female net enrolment rate for secondary to the male net enrolment rate for secondary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.NENR.FE,"Net enrolment rate, secondary, female (%)",,"Total number of female students in the theoretical age group for secondary education enrolled in that level, expressed as a percentage of the total female population in that age group. Divide the number of female students enrolled who are of the official age group for secondary education by the female population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.NENR,"Net enrolment rate, secondary, both sexes (%)",,"Total number of students in the theoretical age group for secondary education enrolled in that level, expressed as a percentage of the total population in that age group. Divide the number of students enrolled who are of the official age group for secondary education by the population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.PRM.NENR.MA,"Net enrolment rate, primary, male (%)",,"Total number of male students in the theoretical age group for primary education enrolled in that level, expressed as a percentage of the total male population in that age group. Divide the number of male students enrolled who are of the official age group for primary education by the male population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes. A high NER denotes a high degree of coverage for the official school-age population. The theoretical maximum value is 100%. Increasing trends can be considered as reflecting improving coverage at the specified level of education. When the NER is compared with the GER, the difference between the two highlights the incidence of under-aged and over-aged enrolment. If the NER is below 100%, then the complement, i.e. the difference with 100%, provides a measure of the proportion of children not enrolled at the specified level of education. However, since some of these children/youth could be enrolled at other levels of education, this difference should in no way be considered as indicating the percentage of students not enrolled. To measure universal primary education, for example, adjusted primary NER is calculated on the basis of the percentage of children in the official primary school age range who are enrolled in either primary or secondary education. A more precise complementary indicator is the Age-specific enrolment ratio (ASER) which shows the participation in education of the population of each particular age, regardless of the level of education.",UNESCO Institute for Statistics,Primary,,,,,,,,
UIS.NER.1.GPI,"Net enrolment rate, primary, gender parity index (GPI)",,"Ratio of female net enrolment rate for primary to the male net enrolment rate for primary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Primary,,,,,,,,
SE.PRM.NENR.FE,"Net enrolment rate, primary, female (%)",,"Total number of female students in the theoretical age group for primary education enrolled in that level, expressed as a percentage of the total female population in that age group. Divide the number of female students enrolled who are of the official age group for primary education by the female population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes. A high NER denotes a high degree of coverage for the official school-age population. The theoretical maximum value is 100%. Increasing trends can be considered as reflecting improving coverage at the specified level of education. When the NER is compared with the GER, the difference between the two highlights the incidence of under-aged and over-aged enrolment. If the NER is below 100%, then the complement, i.e. the difference with 100%, provides a measure of the proportion of children not enrolled at the specified level of education. However, since some of these children/youth could be enrolled at other levels of education, this difference should in no way be considered as indicating the percentage of students not enrolled. To measure universal primary education, for example, adjusted primary NER is calculated on the basis of the percentage of children in the official primary school age range who are enrolled in either primary or secondary education. A more precise complementary indicator is the Age-specific enrolment ratio (ASER) which shows the participation in education of the population of each particular age, regardless of the level of education.",UNESCO Institute for Statistics,Primary,,,,,,,,
SE.PRM.NENR,"Net enrolment rate, primary, both sexes (%)",,"Total number of students in the theoretical age group for primary education enrolled in that level, expressed as a percentage of the total population in that age group. Divide the number of students enrolled who are of the official age group for primary education by the population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes. A high NER denotes a high degree of coverage for the official school-age population. The theoretical maximum value is 100%. Increasing trends can be considered as reflecting improving coverage at the specified level of education. When the NER is compared with the GER, the difference between the two highlights the incidence of under-aged and over-aged enrolment. If the NER is below 100%, then the complement, i.e. the difference with 100%, provides a measure of the proportion of children not enrolled at the specified level of education. However, since some of these children/youth could be enrolled at other levels of education, this difference should in no way be considered as indicating the percentage of students not enrolled. To measure universal primary education, for example, adjusted primary NER is calculated on the basis of the percentage of children in the official primary school age range who are enrolled in either primary or secondary education. A more precise complementary indicator is the Age-specific enrolment ratio (ASER) which shows the participation in education of the population of each particular age, regardless of the level of education.",UNESCO Institute for Statistics,Primary,,,,,,,,
SE.PRE.NENR.MA,"Net enrolment rate, pre-primary, male (%)",,"Total number of male students in the theoretical age group for pre-primary education enrolled in that level, expressed as a percentage of the total male population in that age group. Divide the number of male students enrolled who are of the official age group for pre-primary education by the male population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Pre-Primary,,,,,,,,
UIS.NER.0.GPI,"Net enrolment rate, pre-primary, gender parity index (GPI)",,"Ratio of female net enrolment rate for pre-primary to the male net enrolment rate for pre-primary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Pre-Primary,,,,,,,,
SE.PRE.NENR.FE,"Net enrolment rate, pre-primary, female (%)",,"Total number of female students in the theoretical age group for pre-primary education enrolled in that level, expressed as a percentage of the total female population in that age group. Divide the number of female students enrolled who are of the official age group for pre-primary education by the female population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Pre-Primary,,,,,,,,
SE.PRE.NENR,"Net enrolment rate, pre-primary, both sexes (%)",,"Total number of students in the theoretical age group for pre-primary education enrolled in that level, expressed as a percentage of the total population in that age group. Divide the number of students enrolled who are of the official age group for pre-primary education by the population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Pre-Primary,,,,,,,,
UIS.NER.2.M,"Net enrolment rate, lower secondary, male (%)",,"Total number of male students in the theoretical age group for lower secondary education enrolled in that level, expressed as a percentage of the total male population in that age group. Divide the number of male students enrolled who are of the official age group for lower secondary education by the male population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.NER.2.F,"Net enrolment rate, lower secondary, female (%)",,"Total number of female students in the theoretical age group for lower secondary education enrolled in that level, expressed as a percentage of the total female population in that age group. Divide the number of female students enrolled who are of the official age group for lower secondary education by the female population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.NER.2,"Net enrolment rate, lower secondary, both sexes (%)",,"Total number of students in the theoretical age group for lower secondary education enrolled in that level, expressed as a percentage of the total population in that age group. Divide the number of students enrolled who are of the official age group for lower secondary education by the population for the same age group and multiply the result by 100. NER at each level of education should be based on enrolment of the relevant age group in all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.CMPT.LO.MA.ZS,"Lower secondary completion rate, male (%)",,"Total number of new male entrants in the last grade of lower secondary education, regardless of age, expressed as percentage of the total male population of the theoretical entrance age to the last grade of lower secondary. This indicator is also known as "Gross intake rate to the last grade of lower secondary general education." The ratio can exceed 100 percent due to over-aged and under-aged children who enter lower secondary school late/early and/or repeat grades. Data limitations preclude adjusting for students who drop out during the final year of lower secondary education. Thus this rate is a proxy that should be taken as an upper estimate of the actual lower secondary completion rate.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.AIR.2.GPV.GLAST.GPI,"Lower secondary completion rate, gender parity index (GPI)",,"Ratio of the female lower secondary completion rate to the male lower secondary completion rate. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females. Lower secondary completion rate is also referred to as "Gross intake ratio to the last grade of lower secondary general education."",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.CMPT.LO.FE.ZS,"Lower secondary completion rate, female (%)",,"Total number of new female entrants in the last grade of lower secondary education, regardless of age, expressed as percentage of the total female population of the theoretical entrance age to the last grade of lower secondary. This indicator is also known as "Gross intake rate to the last grade of lower secondary general education." The ratio can exceed 100 percent due to over-aged and under-aged children who enter lower secondary school late/early and/or repeat grades. Data limitations preclude adjusting for students who drop out during the final year of lower secondary education. Thus this rate is a proxy that should be taken as an upper estimate of the actual lower secondary completion rate.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.CMPT.LO.ZS,"Lower secondary completion rate, both sexes (%)",,"Total number of new entrants in the last grade of lower secondary education, regardless of age, expressed as percentage of the total population of the theoretical entrance age to the last grade of lower secondary. This indicator is also known as "Gross intake rate to the last grade of lower secondary general education." The ratio can exceed 100 percent due to over-aged and under-aged children who enter lower secondary school late/early and/or repeat grades. Data limitations preclude adjusting for students who drop out during the final year of lower secondary education. Thus this rate is a proxy that should be taken as an upper estimate of the actual lower secondary completion rate.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.PRM.CMPL.MA.ZS,"Gross graduation ratio from primary education, male (%)",,"Number of male graduates from the last grade of primary education, regardless of age, expressed as a percentage of the male population at the theoretical graduation age. The ratio can exceed 100% due to over-aged and under-aged children who enter primary school for the first time early/late or/and repeat a grade.",UNESCO Institute for Statistics,Primary,,,,,,,,
UIS.GGR.1.GPI,"Gross graduation ratio from primary education, gender parity index (GPI)",,"Ratio of the female gross primary graduation ratio to the male gross primary graduation ratio. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Primary,,,,,,,,
SE.PRM.CMPL.FE.ZS,"Gross graduation ratio from primary education, female (%)",,"Number of female graduates from the last grade of primary education, regardless of age, expressed as a percentage of the female population at the theoretical graduation age. The ratio can exceed 100% due to over-aged and under-aged children who enter primary school for the first time early/late or/and repeat a grade.",UNESCO Institute for Statistics,Primary,,,,,,,,
SE.PRM.CMPL.ZS,"Gross graduation ratio from primary education, both sexes (%)",,"Total number of graduates from the last grade of primary education, regardless of age, expressed as a percentage of the population at the theoretical graduation age. The ratio can exceed 100% due to over-aged and under-aged children who enter primary school for the first time early/late or/and repeat a grade.",UNESCO Institute for Statistics,Primary,,,,,,,,
UIS.GGR.2.M,"Gross graduation ratio from lower secondary education, male (%)",,Number of male graduates regardless of age in all lower secondary education programmes expressed as a percentage of the male population at the theoretical graduation age for lower secondary education. The ratio can exceed 100% due to over-aged and under-aged adolescents who enter lower secondary school for the first time early or late and/or repeat grades.,UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.GGR.2.GPI,"Gross graduation ratio from lower secondary education, gender parity index (GPI)",,"Ratio of the female gross lower secondary graduation ratio to the male gross lower secondary graduation ratio. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.GGR.2.F,"Gross graduation ratio from lower secondary education, female (%)",,Number of female graduates regardless of age in all lower secondary education programmes expressed as a percentage of the female population at the theoretical graduation age for lower secondary education. The ratio can exceed 100% due to over-aged and under-aged adolescents who enter lower secondary school for the first time early or late and/or repeat grades.,UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.GGR.2,"Gross graduation ratio from lower secondary education, both sexes (%)",,Number of graduates regardless of age in all lower secondary education programmes expressed as a percentage of the population at the theoretical graduation age for lower secondary education. The ratio can exceed 100% due to over-aged and under-aged adolescents who enter lower secondary school for the first time early or late and/or repeat grades.,UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.ENRR.UP.MA ,"Gross enrolment ratio, upper secondary, male (%)",,"Total male enrollment in upper secondary education, regardless of age, expressed as a percentage of the male population of official upper secondary education age.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.GER.3.GPI,"Gross enrolment ratio, upper secondary, gender parity index (GPI)",,"Ratio of female gross enrolment ratio for upper secondary to the male gross enrolment ratio for upper secondary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.ENRR.UP.FE ,"Gross enrolment ratio, upper secondary, female (%)",,"Total female enrollment in upper secondary education, regardless of age, expressed as a percentage of the female population of official upper secondary education age.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.ENRR.UP,"Gross enrolment ratio, upper secondary, both sexes (%)",,"Total enrollment in upper secondary education, regardless of age, expressed as a percentage of the total population of official upper secondary education age.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.ENRR.MA,"Gross enrolment ratio, secondary, male (%)",,"Total male enrollment in secondary education, regardless of age, expressed as a percentage of the male population of official secondary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.ENR.SECO.FM.ZS,"Gross enrolment ratio, secondary, gender parity index (GPI)",,"Ratio of female gross enrolment ratio for secondary to male gross enrolment ratio for secondary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.ENRR.FE,"Gross enrolment ratio, secondary, female (%)",,"Total female enrollment in secondary education, regardless of age, expressed as a percentage of the female population of official secondary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.ENRR,"Gross enrolment ratio, secondary, both sexes (%)",,"Total enrollment in secondary education, regardless of age, expressed as a percentage of the population of official secondary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.PRM.ENRR.MA,"Gross enrolment ratio, primary, male (%)",,"Total male enrollment in primary education, regardless of age, expressed as a percentage of the male population of official primary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.",UNESCO Institute for Statistics,Primary,,,,,,,,
SE.ENR.PRIM.FM.ZS,"Gross enrolment ratio, primary, gender parity index (GPI)",,"Ratio of female gross enrolment ratio for primary to male gross enrolment ratio for primary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Primary,,,,,,,,
SE.PRM.ENRR.FE,"Gross enrolment ratio, primary, female (%)",,"Total female enrollment in primary education, regardless of age, expressed as a percentage of the female population of official primary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.",UNESCO Institute for Statistics,Primary,,,,,,,,
SE.PRM.ENRR,"Gross enrolment ratio, primary, both sexes (%)",,"Total enrollment in primary education, regardless of age, expressed as a percentage of the population of official primary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.",UNESCO Institute for Statistics,Primary,,,,,,,,
UIS.GER.123.M,"Gross enrolment ratio, primary and secondary, male (%)",,"Total male enrollment in primary and secondary education, regardless of age, expressed as a percentage of the total male population of official primary and secondary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.ENR.PRSC.FM.ZS,"Gross enrolment ratio, primary and secondary, gender parity index (GPI)",,"Ratio of female gross enrolment ratio for primary and secondary to male gross enrolment ratio for primary and secondary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.GER.123.F,"Gross enrolment ratio, primary and secondary, female (%)",,"Total female enrollment in primary and secondary education, regardless of age, expressed as a percentage of the total female population of official primary and secondary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.GER.123,"Gross enrolment ratio, primary and secondary, both sexes (%)",,"Total enrollment in primary and secondary education, regardless of age, expressed as a percentage of the total population of official primary and secondary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.GER.12.M,"Gross enrolment ratio, primary and lower secondary, male (%)",,"Total male enrollment in primary and lower secondary education, regardless of age, expressed as a percentage of the male population of official primary and lower secondary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.GER.12.GPI,"Gross enrolment ratio, primary and lower secondary, gender parity index (GPI)",,"Ratio of female gross enrolment ratio for primary and lower secondary to male gross enrolment ratio for primary and lower secondary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.GER.12.F,"Gross enrolment ratio, primary and lower secondary, female (%)",,"Total female enrollment in primary and lower secondary education, regardless of age, expressed as a percentage of the female population of official primary and lower secondary education age. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.",UNESCO Institute for Statistics,Secondary,,,,,,,,
